,index,labDelta,area,center_x,center_y
0,405,0.222045886981,49.5,199,161
1,406,0.173270596265,49.0,199,161
2,407,0.207118184532,53.5,199,161
3,408,0.168234104911,53.5,199,161
4,409,0.178483530028,54.0,199,161
5,410,0.132258329067,54.5,199,161
6,411,0.127820944145,56.5,199,161
7,412,0.164312224546,56.5,199,161
8,413,0.165806076063,58.0,199,161
9,414,0.137155887213,59.0,199,161
10,415,0.0878183359712,58.0,199,161
11,416,0.196676395893,58.0,199,161
12,417,0.173905837092,57.5,199,161
13,418,0.176145772076,60.0,199,161
14,419,0.178533472122,58.5,199,161
15,420,0.197113174489,59.5,199,161
16,421,0.150959882949,60.5,199,161
17,422,0.207956952556,61.5,199,161
18,423,0.151195486822,60.5,199,161
19,424,0.104981868272,60.0,199,161
20,425,0.150528503649,61.0,199,161
21,426,0.16089420092,62.5,199,161
22,427,0.148896555322,62.5,199,161
23,428,0.0298437524623,62.5,199,161
24,429,0.174513341199,62.5,199,161
25,430,0.217534658072,62.5,199,161
26,431,0.185129804557,62.5,199,161
27,432,0.126195147632,63.5,199,161
28,433,0.168646658919,64.0,199,161
29,434,0.149600194333,63.5,199,161
30,435,0.152471474866,63.5,199,161
31,436,0.135123117867,64.0,199,161
32,437,0.0203860275006,64.0,199,161
33,438,0.158463857334,63.5,199,161
34,439,0.134140058195,64.5,199,161
35,440,0.186401851874,66.0,199,161
36,441,0.145316849425,66.0,199,161
37,442,0.155360019598,67.0,199,161
38,443,0.175854495006,67.5,199,161
39,444,0.201146307059,67.5,199,161
40,445,0.237253197449,68.5,199,161
41,446,0.204794229887,69.5,199,161
42,447,0.133261766724,69.5,199,161
43,448,0.177666322979,69.5,199,161
44,449,0.163607703681,69.0,199,161
45,450,0.162395316982,70.0,199,161
46,451,0.162498234504,72.0,199,161
47,452,0.0865646194717,72.0,199,161
48,453,0.112992697245,72.0,199,161
49,454,0.152374035239,74.5,199,160
50,455,0.14572916657,74.5,199,160
51,456,0.17003316354,74.5,199,160
52,457,0.107808547224,76.0,199,160
53,458,0.173912254982,79.5,199,160
54,459,0.019501771073,79.5,199,160
55,460,0.0971663302074,82.0,199,160
56,461,0.140331793263,80.0,199,160
57,462,0.109780371324,81.0,199,160
58,463,0.10999645784,80.0,199,160
59,464,0.096956757439,81.0,199,160
60,465,0.0847303759536,82.0,199,160
61,466,0.103742021204,82.0,199,160
62,467,0.143744393184,83.0,199,160
63,468,0.152685845605,86.0,199,160
64,469,0.118006884545,83.0,199,160
65,470,0.0912739058128,83.0,199,160
66,471,0.153940931376,84.0,199,160
67,472,0.139148382832,85.5,199,160
68,473,0.0921339665675,84.5,199,160
69,474,0.120874519386,87.5,199,160
70,475,0.129439790507,81.0,199,160
71,476,0.2344291836,88.0,200,159
72,477,0.20386027778,88.0,200,159
73,478,0.348906522441,74.5,200,158
74,479,0.0253160408242,72.5,200,158
75,480,0.0411489198009,74.0,201,156
76,481,0.00026622329804,75.0,202,155
77,482,0.0372144102287,74.0,203,154
78,696,0.121994023973,530.5,264,168
79,697,0.118334856486,534.0,264,168
80,698,0.157358088677,539.0,264,168
81,699,0.121967521996,536.0,264,168
82,700,0.0882903214216,535.5,264,168
83,701,0.0882363270763,539.5,264,168
84,702,0.136197300331,542.0,264,167
85,703,0.0786138497114,544.0,264,167
86,704,0.0336633895141,544.0,264,167
87,705,0.0823912877201,545.5,264,167
88,706,0.065687189327,547.5,264,167
89,707,0.0832856903375,547.0,264,167
90,708,0.108225880388,545.0,264,168
91,709,0.0642213928658,545.0,264,168
92,710,0.125192476893,547.0,264,168
93,711,0.112117541176,552.0,264,168
94,712,0.184318195746,555.0,264,168
95,713,0.146535193454,554.0,264,168
96,714,0.115877106375,553.5,264,167
97,715,0.0977262962077,556.5,264,167
98,716,0.0641547546315,555.0,264,167
99,717,0.0925051537835,557.0,264,167
100,718,0.00313013400451,557.0,264,167
101,719,0.116503802848,557.0,264,167
102,720,0.0990480712737,559.5,264,168
103,721,0.195596257458,563.5,264,168
104,722,0.0840239775019,562.5,264,168
105,723,0.102489901526,564.0,264,167
106,724,0.152912391486,565.0,264,167
107,725,0.15440946567,566.5,264,167
108,726,0.124679076483,567.0,264,167
109,727,0.225917579852,571.0,264,167
110,728,0.257623132878,574.5,264,168
111,729,0.114047622476,574.5,264,168
112,730,0.0094059026389,577.0,264,168
113,731,0.0787477020491,579.0,264,168
114,732,0.0836900507755,576.5,264,168
115,733,0.131559488529,579.5,264,168
116,734,0.0706034536864,578.5,264,167
117,735,0.145488933021,580.5,264,167
118,736,0.125695310791,583.0,264,167
119,737,0.0852417451842,587.0,264,167
120,738,0.154867516657,587.0,264,167
121,739,0.0346615866915,587.0,264,167
122,740,0.142200755027,589.0,264,167
123,741,0.00458848435657,590.0,264,167
124,742,0.000138558265771,590.0,264,167
125,743,0.122292941974,596.0,264,167
126,744,0.0956532346165,597.0,264,167
127,745,0.0860500127051,595.5,264,167
128,746,0.0599891508482,598.0,264,167
129,747,0.0332954674971,600.0,264,167
130,748,0.0337170207639,603.0,264,167
131,749,0.110859662396,605.0,264,167
132,750,0.229308070612,604.5,264,167
133,751,0.0645244359357,607.5,264,167
134,752,0.0992364734192,606.5,264,167
135,753,0.0660374139514,607.0,264,167
136,754,0.0952358750449,610.0,264,167
137,755,0.0708982450982,612.0,264,167
138,756,0.159385807932,611.0,264,167
139,757,0.171066228574,614.0,264,167
140,758,0.150683094224,614.5,264,167
141,759,0.170750113005,615.5,264,167
142,760,0.202576037984,618.5,264,167
143,761,0.0921310786574,620.5,264,167
144,762,0.133589808255,620.5,264,167
145,763,0.163257565716,622.5,264,167
146,764,0.12370905598,623.0,264,167
147,765,0.159992331474,625.0,264,167
148,766,0.167957684501,623.5,264,167
149,767,0.0848419364219,626.5,264,167
150,768,0.0921593040043,627.5,264,167
151,769,0.113622567246,627.5,264,167
152,770,0.132697426696,631.5,264,167
153,771,0.167465403905,631.5,264,167
154,772,0.191999799529,631.5,264,167
155,773,0.183152135298,635.5,264,167
156,774,0.176230107032,637.5,264,167
157,775,0.21822062665,640.0,264,167
158,776,0.144045832562,639.0,264,167
159,777,0.154628907961,640.0,264,167
160,778,0.0402436509466,641.0,264,167
161,779,0.0752248596684,643.0,264,167
162,780,0.0289508873181,643.0,264,167
163,781,0.143897352498,649.0,264,167
164,782,0.195303830404,651.0,264,167
165,783,0.174089263473,653.0,264,167
166,784,0.12613993437,653.5,264,167
167,785,0.18201499858,652.5,264,167
168,786,0.116222705234,655.5,264,167
169,787,0.0516446402764,657.5,264,167
170,788,0.098649279698,659.5,264,167
171,789,0.126005648087,662.0,264,167
172,790,0.0868205080788,661.0,264,167
173,791,0.180292781043,663.5,264,167
174,792,0.141207888638,664.5,264,167
175,793,0.174541032758,670.5,264,167
176,794,0.0584897318178,670.5,264,167
177,795,0.0600279866078,667.5,264,167
178,796,0.0819053766305,671.0,264,167
179,797,0.0655455004079,671.0,264,167
180,798,0.192721009138,671.0,264,167
181,799,0.10138464278,674.0,264,167
182,800,0.20561855512,674.5,264,167
183,801,0.122112396185,678.5,264,167
184,802,0.129795278484,679.0,264,167
185,803,0.11604456205,683.5,264,167
186,804,0.238211680404,679.5,264,166
187,805,0.196820546179,681.5,264,166
188,806,0.0798751196956,680.0,264,166
189,807,0.0751388019505,681.0,264,166
190,808,0.134334184661,684.0,264,166
191,809,0.171551469565,688.0,264,166
192,810,0.174431250459,690.0,264,166
193,811,0.170307215913,694.5,264,166
194,812,0.0804178985163,697.5,264,166
195,813,0.0981833036558,695.5,264,166
196,814,0.145642197981,695.0,264,167
197,815,0.142972814067,697.5,264,166
198,816,0.121674276972,697.5,264,166
199,817,0.223711818139,699.0,264,166
200,818,0.185217010007,701.5,264,166
201,819,0.0860602159846,703.5,264,166
202,820,0.194478499908,706.5,264,166
203,821,0.214619183426,710.5,264,166
204,822,0.133359854912,712.5,264,166
205,823,0.108212797794,716.5,264,167
206,824,0.18359497609,715.5,265,166
207,825,0.100447745,713.5,265,166
208,826,0.123567125919,716.5,264,166
209,827,0.116837624409,718.5,264,166
210,828,0.107889540989,719.5,265,166
211,829,0.0305445096031,724.5,265,166
212,830,0.123827382919,727.5,265,167
213,831,0.0924869975609,730.0,265,167
214,832,0.0844426000227,729.5,265,167
215,833,0.109261596687,732.0,265,167
216,834,0.10962446605,734.5,265,167
217,835,0.139689328849,737.0,265,167
218,836,0.143254970684,737.0,265,167
219,837,0.12870885289,736.5,265,166
220,838,0.0558784720866,741.5,265,166
221,839,0.133495073223,743.0,265,166
222,840,0.111270042717,744.5,265,167
223,841,0.065865273408,747.0,265,167
224,842,0.0463054254576,747.5,265,166
225,843,0.146007507168,749.5,265,166
226,844,0.179749733036,749.0,265,166
227,845,0.262812194949,747.0,265,166
228,846,0.0877113290016,755.5,265,167
229,847,0.0970356374662,757.5,265,167
230,848,0.115574713276,759.5,265,167
231,849,0.058571036209,759.5,265,167
232,850,0.073214297219,757.5,265,167
233,851,0.152212955179,753.0,264,166
234,852,0.390066669685,748.5,263,166
235,853,0.179714477527,745.5,261,165
236,854,0.391453515874,722.0,256,164
237,855,0.606019963606,677.0,252,162
238,856,0.205060953262,658.0,250,161
239,857,0.191395803405,650.0,248,160
240,858,0.196264206733,644.0,245,159
241,859,0.148503587875,638.5,244,159
242,860,0.188933583178,635.0,243,158
243,1164,0.11850546501,423.5,218,97
244,1165,0.105195941589,423.5,218,97
245,1166,0.0538393394598,424.5,218,97
246,1167,0.0541860550305,424.5,218,97
247,1168,0.0258193151075,427.5,218,97
248,1169,0.241877079937,428.5,219,97
249,1170,0.244511003715,427.5,219,97
250,1171,0.119910782791,431.5,219,97
251,1172,0.10979684353,433.0,218,97
252,1173,0.130925289748,433.0,218,97
253,1174,0.0345045521747,435.5,218,97
254,1175,0.114221514599,435.5,218,97
255,1176,0.0622876160478,436.5,218,97
256,1177,0.163570311526,439.0,218,97
257,1178,0.0959632880187,439.5,218,97
258,1179,0.176985798319,440.5,219,97
259,1180,0.0840736787713,443.5,219,97
260,1181,0.180433433182,446.0,219,98
261,1182,0.0394742014138,449.0,219,98
262,1183,0.126305994181,451.0,218,98
263,1184,0.0671993485451,454.5,218,98
264,1185,0.0716888849375,454.5,218,98
265,1186,0.0878694731186,455.5,218,98
266,1187,0.186628497675,455.0,218,98
267,1188,0.166115603609,460.0,218,98
268,1189,0.0661226600011,462.0,218,98
269,1190,0.127101228654,461.5,219,98
270,1191,0.140471980687,463.5,219,98
271,1192,0.0601561975058,466.0,219,98
272,1193,0.055973715836,468.0,219,98
273,1194,0.0488031837876,467.0,219,98
274,1195,0.173541011186,470.0,219,98
275,1196,0.0912687768374,470.0,219,98
276,1197,0.148224413139,474.5,219,98
277,1198,0.112229244025,474.0,219,98
278,1199,0.1373845571,476.5,219,98
279,1200,0.29364181353,477.0,219,98
280,1201,0.125588903955,478.5,219,98
281,1202,0.0633331611567,478.5,219,98
282,1203,0.114108244353,481.5,218,98
283,1204,0.175994171698,484.5,218,98
284,1205,0.0599887491138,484.0,219,98
285,1206,0.10245825114,486.0,219,98
286,1207,0.120584401035,487.0,219,98
287,1208,0.258527507564,489.0,219,98
288,1209,0.0503363980597,492.0,219,98
289,1210,0.153318750616,492.0,219,98
290,1211,0.0416499569636,492.0,219,98
291,1212,0.176926882838,494.5,219,98
292,1213,0.139227168155,497.5,219,98
293,1214,0.100972323952,498.0,219,98
294,1215,0.0814327497522,498.0,219,98
295,1216,0.127267985491,499.0,219,98
296,1217,0.139753425376,501.5,219,98
297,1218,0.0967729021743,502.0,219,98
298,1219,0.0699523162058,503.0,219,98
299,1220,0.150845198933,504.5,219,98
300,1221,0.113770956692,503.5,219,98
301,1222,0.109986529216,504.5,219,98
302,1223,0.180811425124,505.0,219,98
303,1224,0.125528280877,506.5,219,98
304,1225,0.124731945338,508.0,219,98
305,1226,0.037206644505,510.0,219,98
306,1227,0.0302190725639,510.0,219,98
307,1228,0.035600485972,512.0,219,98
308,1229,0.169497930738,513.5,219,98
309,1230,0.177087640803,514.5,219,98
310,1231,0.11830142032,515.5,219,98
311,1232,0.123884417268,515.5,219,98
312,1233,0.130820069382,517.0,219,98
313,1234,0.0329111107548,518.0,219,98
314,1235,0.257110302461,518.5,219,98
315,1236,0.0417645861863,520.0,219,98
316,1237,0.174963370761,521.0,219,98
317,1238,0.204035704111,523.0,219,98
318,1239,0.199677475214,525.5,219,98
319,1240,0.0708158754185,526.5,219,98
320,1241,0.252770519388,525.0,219,98
321,1242,0.151133918137,526.0,219,98
322,1243,0.0501090807866,529.0,219,98
323,1244,0.0343017260131,528.0,219,98
324,1245,0.0836970317307,529.0,219,98
325,1246,0.0793173507807,533.5,219,98
326,1247,0.0295960707582,536.5,219,98
327,1248,0.128266120448,537.5,219,98
328,1249,0.158078106388,537.5,219,98
329,1250,0.219481402767,540.5,219,98
330,1251,0.126202651611,541.5,219,98
331,1252,0.0593793175432,544.5,219,98
332,1253,0.0918328978785,546.5,219,98
333,1254,0.0832550172507,548.5,218,97
334,1255,0.0934679726194,548.0,218,97
335,1256,0.101246561844,549.0,218,97
336,1257,0.125575811669,550.5,218,98
337,1258,0.101246853269,554.5,219,98
338,1259,0.075487844524,553.0,219,98
339,1260,0.0314946571922,555.5,219,98
340,1261,0.197427313171,560.0,219,98
341,1262,0.177022507071,563.5,219,98
342,1263,0.207199981468,560.0,218,99
343,1264,0.355528533025,560.5,218,102
344,1265,0.275174771975,558.5,218,103
345,1266,0.244209912468,560.5,218,103
346,1267,0.344276086399,552.5,218,104
347,1268,0.0849872803238,551.0,218,104
348,1269,0.140357031359,549.5,218,105
349,1270,0.0847127706581,548.0,218,105
350,1271,0.157044924381,548.5,218,105
351,1484,0.153019056937,45.5,197,97
352,1485,0.14605490396,45.5,197,97
353,1486,0.134435602831,46.5,197,97
354,1487,0.126796786643,47.5,197,97
355,1488,0.0188525510445,47.5,197,97
356,1489,0.131085214503,46.5,197,97
357,1490,0.11515101773,47.5,197,97
358,1491,0.166623117141,47.5,197,97
359,1492,0.192032397977,48.5,197,97
360,1493,0.188761993363,48.0,196,97
361,1494,0.129736236652,48.0,196,97
362,1495,0.0186488610317,48.0,196,97
363,1496,0.163721689833,52.5,196,97
364,1497,0.156319677895,53.5,196,97
365,1498,0.200785854551,55.5,196,97
366,1499,0.21821253354,56.5,197,97
367,1500,0.126562459128,56.5,197,97
368,1501,0.150330202324,58.5,197,97
369,1502,0.180505482188,55.5,197,97
370,1503,0.189204156257,58.5,197,97
371,1504,0.222764763414,59.5,197,97
372,1505,0.270401890977,60.5,197,97
373,1506,0.197255044784,61.5,197,97
374,1507,0.122357326484,61.5,197,97
375,1508,0.168088204647,60.5,197,97
376,1509,0.14159846484,61.5,197,97
377,1510,0.155055427056,61.5,197,97
378,1511,0.190107768388,62.0,197,97
379,1512,0.0981050591838,63.0,197,97
380,1513,0.150718522849,62.5,197,97
381,1514,0.142664801719,66.0,197,97
382,1515,0.139411074955,65.0,197,97
383,1516,0.132798908206,64.5,197,97
384,1517,0.11997351987,65.0,197,97
385,1518,0.102258209508,65.0,197,97
386,1519,0.201463956124,66.0,197,97
387,1520,0.215820371983,66.0,197,97
388,1521,0.205921846191,67.5,197,97
389,1522,0.131172839065,67.0,197,97
390,1523,0.271661339316,68.5,197,97
391,1524,0.281838320054,68.0,197,97
392,1525,0.221991368886,68.0,197,97
393,1526,0.142986764626,69.0,197,97
394,1527,0.232484778679,70.0,197,97
395,1528,0.21234446488,71.0,197,97
396,1529,0.204934516733,72.0,197,97
397,1530,0.148972816309,72.0,197,97
398,1531,0.245069053021,74.0,197,97
399,1532,0.174430971159,73.0,197,97
400,1533,0.164288746209,71.5,197,97
401,1534,0.155281684481,73.5,197,97
402,1535,0.201152614362,76.5,197,97
403,1536,0.215859806763,77.5,197,97
404,1537,0.250086866165,76.5,197,97
405,1538,0.180298005283,76.5,197,97
406,1539,0.208289211371,76.0,197,97
407,1540,0.283836372041,77.5,197,97
408,1541,0.198633722405,77.5,197,97
409,1542,0.245522173435,78.5,197,97
410,1543,0.266602980305,81.0,197,97
411,1544,0.278097668123,84.0,197,97
412,1545,0.216614118266,83.0,197,97
413,1546,0.354640467665,83.5,197,97
414,1547,0.237092875274,83.0,197,97
415,1548,0.121016284273,83.5,197,97
416,1549,0.226245565531,83.5,197,97
417,1550,0.317275676809,86.5,196,97
418,1551,0.286464311948,86.5,196,97
419,1552,0.206346587589,89.0,196,97
420,1553,0.166803119825,86.5,196,97
421,1554,0.206961359006,89.0,196,97
422,1555,0.233567883697,89.0,196,97
423,1556,0.115564908307,89.0,196,97
424,1557,0.31132340683,92.0,196,96
425,1558,0.173223524528,92.5,196,96
426,1559,0.274452263989,92.5,197,96
427,1560,0.297268075578,93.0,197,97
428,1561,0.270797146395,93.0,197,96
429,1562,0.222884930373,93.0,196,96
430,1563,0.346496301602,96.0,196,97
431,1564,0.204956175291,96.0,196,97
432,1565,0.354108585626,95.5,196,96
433,1566,0.362041393663,95.5,196,97
434,1567,0.241363634843,97.5,196,96
435,1568,0.306965041039,98.0,196,97
436,1569,0.337382186619,102.0,196,97
437,1570,0.343423628853,102.0,196,97
438,1571,0.215517067214,103.0,196,97
439,1572,0.331336852458,104.0,196,97
440,1573,0.0403149403337,104.0,196,97
441,1574,0.281345539341,103.0,196,97
442,1575,0.265915200442,105.0,196,97
443,1576,0.249269397923,104.0,196,97
444,1577,0.219499598132,104.0,196,97
445,1578,0.386677401235,109.0,196,97
446,1579,0.226835225346,111.5,196,97
447,1580,0.406158263845,109.0,196,97
448,1581,0.294843051528,107.0,196,97
449,1582,0.349949843386,109.0,196,97
450,1583,0.302696927419,110.0,196,97
451,1584,0.284568814805,112.0,196,97
452,1585,0.362407922214,113.5,196,97
453,1586,0.362846526664,115.5,197,97
454,1587,0.407491497032,115.5,197,97
455,1588,0.302400953001,118.0,196,97
456,1589,0.206816976423,118.0,196,97
457,1590,0.285891165276,117.0,196,97
458,1591,0.28744423695,116.0,196,97
459,1592,0.299615950084,116.0,196,97
460,1593,0.201679650206,120.0,196,97
461,1594,0.0478752016865,120.0,196,97
462,1595,0.270857554302,118.0,196,97
463,1596,0.279642795668,119.0,196,97
464,1597,0.286318455219,120.0,197,97
465,1598,0.298645229475,121.0,197,97
466,1599,0.334542219208,125.0,196,97
467,1600,0.329670726967,122.0,196,97
468,1601,0.266249077213,119.5,196,97
469,1602,0.323907451737,119.5,196,97
470,1603,0.338757308535,124.5,196,97
471,1604,0.427505072831,124.5,197,97
472,1605,0.309135891349,122.0,197,97
473,1606,0.345778016007,122.5,197,97
474,1607,0.232224605703,124.0,197,97
475,1608,0.246869946168,121.5,197,97
476,1609,0.278318430125,121.5,197,97
477,1610,0.301829880244,121.5,196,97
478,1611,0.265857007412,121.5,196,97
479,1612,0.328006933077,119.5,196,97
480,1613,0.303736368311,122.5,196,97
481,1614,0.188641014807,121.0,197,97
482,1615,0.249026968151,123.0,196,97
483,1616,0.290025454296,121.5,197,97
484,1617,0.324261236833,122.5,197,97
485,1618,0.455157551035,125.0,197,97
486,1619,0.393269158312,122.5,197,97
487,1620,0.348650211583,121.0,196,97
488,1621,0.345955493134,123.0,196,97
489,1622,0.0536008898261,123.0,196,97
490,1623,0.292897927387,122.0,197,97
491,1624,0.386222234033,124.5,197,97
492,1625,0.432740253335,126.5,197,97
493,1626,0.233497935735,125.5,197,97
494,1627,0.102664973061,125.5,197,97
495,1628,0.361996125831,123.0,197,97
496,1629,0.361612920519,124.5,197,97
497,1630,0.165675533225,122.5,197,97
498,1631,0.170686562555,124.0,197,97
499,1632,0.317551217486,126.0,197,97
500,1633,0.311857260329,125.0,197,97
501,1634,0.145518335672,123.0,197,97
502,1635,0.185466496057,123.0,197,97
503,1636,0.362915323208,122.5,197,97
504,1637,0.347870889058,125.0,197,97
505,1638,0.191406478723,126.0,197,97
506,1639,0.316068201065,121.5,197,96
507,1640,0.287143934641,120.5,197,97
508,1641,0.347686528558,118.5,197,97
509,1642,0.312113335876,119.0,197,97
510,1643,0.329989902812,117.5,197,97
511,1644,0.357219323273,118.5,197,97
512,1645,0.349189167229,117.0,197,97
513,1646,0.256398637718,118.0,197,97
514,1647,0.345701471801,120.0,197,97
515,1648,0.320826855634,117.0,197,97
516,1649,0.236264544945,116.0,197,97
517,1650,0.205708487804,115.0,197,97
518,1651,0.361515744869,112.5,197,97
519,1652,0.170916282016,112.5,197,97
520,1653,0.353505409651,107.0,197,97
521,1654,0.265954836509,107.0,197,97
522,1655,0.314337290227,107.0,197,96
523,1656,0.265937360129,107.0,197,96
524,1657,0.303354423584,107.5,197,97
525,1658,0.327609832375,107.0,197,97
526,1659,0.326558659364,106.0,197,97
527,1660,0.314513551271,103.5,197,96
528,1661,0.22284718241,103.5,197,96
529,1662,0.1611280367,103.5,197,96
530,1663,0.352517565203,102.5,197,96
531,1664,0.39988883765,101.5,197,97
532,1665,0.317840102166,103.5,197,97
533,1666,0.236772796997,106.0,197,97
534,1667,0.281784393485,104.0,196,97
535,1668,0.380197280631,105.0,197,97
536,1669,0.433506711394,99.0,196,97
537,1670,0.2451102247,99.0,196,97
538,1671,0.21935317276,96.5,196,97
539,1672,0.180182411675,96.0,196,96
540,1673,0.233598383774,95.0,196,96
541,1674,0.121686918177,94.5,196,97
542,1675,0.43280521318,93.0,196,96
543,1676,0.404660072871,95.5,196,96
544,1677,0.178950882002,94.0,196,96
545,1678,0.414487473331,92.5,196,97
546,1679,0.329555547196,91.5,196,96
547,1680,0.272967778972,93.0,196,96
548,1681,0.268209500814,91.5,196,96
549,1682,0.236918468297,91.0,196,96
550,1683,0.352445788499,90.5,196,96
551,1684,0.370437457589,90.5,197,96
552,1685,0.208481588912,89.5,197,96
553,1686,0.239129685598,88.5,196,97
554,1687,0.206103877421,85.5,196,97
555,1688,0.176546657082,86.0,196,97
556,1689,0.164270445089,83.0,196,97
557,1690,0.223899137171,84.0,196,97
558,1691,0.168121205137,82.0,196,97
559,1692,0.208767075923,81.0,196,97
560,1693,0.176501306006,80.0,197,97
561,1694,0.338671746418,81.0,196,97
562,1695,0.242987083647,79.0,197,97
563,1696,0.256258128558,80.0,197,97
564,1697,0.20884726855,80.0,196,97
565,1698,0.309376419352,74.5,196,97
566,1699,0.0163403746175,74.5,196,97
567,1700,0.269539370386,77.0,196,97
568,1701,0.298785383965,76.0,196,97
569,1702,0.311816867233,74.0,196,97
570,1703,0.265665690285,74.5,196,97
571,1704,0.24736575849,74.5,197,97
572,1705,0.217762592536,73.5,197,97
573,1706,0.225160925428,73.0,196,97
574,1707,0.19886137322,71.0,196,97
575,1708,0.214391698585,72.0,196,97
576,1709,0.117286584659,70.5,196,97
577,1710,0.212384848183,69.0,196,97
578,1711,0.1853335129,69.0,196,97
579,1712,0.136195710498,69.0,196,97
580,1713,0.261351525876,67.0,197,97
581,1714,0.314773606332,69.0,197,97
582,1715,0.214495452434,68.5,197,97
583,1716,0.244251636345,68.5,197,97
584,1717,0.194418021958,67.5,197,97
585,1718,0.244687693243,66.5,197,97
586,1719,0.2240475647,65.5,197,97
587,1720,0.0824872696027,65.5,197,97
588,1721,0.215813518082,65.0,197,97
589,1722,0.257161326101,64.5,197,97
590,1723,0.176078876651,64.0,197,97
591,1724,0.188448300784,64.0,197,97
592,1725,0.277250253905,60.0,197,97
593,1726,0.110728120859,59.0,197,97
594,1727,0.13020658287,59.0,197,97
595,1728,0.119837831879,60.0,197,97
596,1729,0.101758926701,59.0,197,97
597,1730,0.228777879802,60.5,197,97
598,1731,0.160630418701,59.5,197,97
599,1732,0.163427861912,60.5,197,97
600,1733,0.22701488462,59.5,197,97
601,1734,0.10740497945,59.5,197,97
602,1735,0.204876079537,57.5,197,97
603,1736,0.146235374749,57.5,197,97
604,1737,0.200263002705,60.0,197,97
605,1738,0.169028058456,59.0,196,97
606,1739,0.241158800145,56.0,196,97
607,1740,0.241397694467,56.0,196,96
608,1741,0.245285968955,53.5,196,97
609,1742,0.201937480356,52.0,196,97
610,1743,0.131615929734,50.0,197,97
611,1744,0.144813916946,48.0,196,97
612,1745,0.146802731426,48.0,196,97
613,1746,0.0845233726389,48.0,196,97
614,1747,0.138677823923,50.0,196,97
615,1748,0.190704162343,49.0,196,97
616,1749,0.149397533228,47.5,197,97
617,1750,0.139105290539,46.5,196,97
618,1751,0.0,46.5,196,97
619,1752,0.142754174261,45.5,197,97
620,1753,0.169450341607,46.5,196,97
621,1754,0.135373495102,46.5,197,97
622,1755,0.0686455340064,46.5,197,97
623,1756,0.131938731485,45.5,197,97
624,1757,0.152158342658,44.5,197,97
625,1758,0.146434445937,46.0,196,97
626,1759,0.0573179747497,46.0,196,97
627,1760,0.14261969686,44.5,196,97
628,1761,0.154827471063,44.5,197,97
629,1762,0.0937907437361,45.5,197,97
630,1763,0.125034693914,44.5,197,97
631,1764,0.0311936340015,44.5,197,97
632,1765,0.158589311733,42.0,197,97
633,1766,0.201273696003,43.0,197,97
634,1767,0.112547370061,44.0,197,97
635,1768,0.18209450327,43.5,197,97
636,1769,0.219607467512,43.5,197,97
637,1770,0.190419117746,44.5,197,97
638,1771,0.206086840821,43.5,197,97
639,1772,0.0914572819668,43.5,197,97
640,1773,0.220721436846,43.0,197,97
641,1774,0.181506654619,43.0,197,97
642,1775,0.173482462084,43.5,197,97
643,1776,0.12670710197,44.0,197,97
644,1777,0.151824968679,43.5,197,97
645,1778,0.162135131096,44.5,196,97
646,1779,0.138621665237,43.5,196,97
647,1780,0.166107607206,45.0,196,97
648,1781,0.201778916129,44.5,196,97
649,1782,0.218960413762,43.5,197,97
650,1783,0.206581881555,43.5,197,97
651,1784,0.175665690315,43.5,197,97
652,1785,0.164886092492,44.0,197,97
653,1786,0.136806277343,45.0,197,97
654,1787,0.120261587223,44.0,197,97
655,1788,0.120621458455,44.0,197,97
656,1789,0.170916628903,45.0,197,97
657,1790,0.158561887756,43.5,197,97
658,1791,0.197818723137,43.5,197,97
659,1792,0.137002226593,43.5,197,97
660,1793,0.2118273285,43.5,197,97
661,1794,0.189565783471,44.5,197,97
662,1795,0.182304045217,42.0,197,97
663,1796,0.171346845112,42.0,197,97
664,1797,0.150764418121,42.0,197,97
665,1798,0.141517480746,42.0,197,97
666,1799,0.143059434093,44.5,197,97
667,1800,0.0933937963936,44.5,197,97
668,1801,0.105776203756,44.5,197,97
669,1802,0.0988070520656,44.5,197,97
670,1803,0.142718771167,42.5,197,97
671,1804,0.188290715877,46.0,197,97
672,1805,0.155571785882,44.5,197,97
673,1806,0.185814478664,43.0,197,97
674,1807,0.0388565446914,43.0,197,97
675,1808,0.170295074611,44.0,197,97
676,1809,0.120915440297,42.0,197,97
677,1810,0.0949248004811,44.0,197,97
678,1811,0.185479017263,42.0,197,97
679,1812,0.0807226096811,42.0,197,97
680,1813,0.0737356504074,43.0,197,97
681,1814,0.161059809249,42.0,197,97
682,1815,0.17479581764,43.0,197,97
683,1816,0.167670273858,45.0,197,97
684,1817,0.176231957744,46.0,197,97
685,1818,0.179158066,46.5,197,97
686,1819,0.155625251747,45.0,197,97
687,1820,0.163155344099,48.5,197,97
688,1821,0.162959063088,49.0,197,97
689,1822,0.136351227392,50.0,197,97
690,1823,0.151796505036,50.0,197,97
691,1824,0.134712346815,50.5,197,97
692,1825,0.187644786774,52.5,197,97
693,1826,0.166069754419,52.5,197,97
694,1827,0.151678495227,53.0,197,97
695,1828,0.208785420707,53.0,197,97
696,1829,0.139700958431,55.5,197,97
697,1830,0.139339066799,56.5,197,97
698,1831,0.132280254903,60.5,197,97
699,1832,0.154069159955,61.5,197,97
700,1833,0.117959048962,60.0,197,97
701,1834,0.176928672512,62.5,197,97
702,1835,0.121798649238,61.5,197,97
703,1836,0.153000513701,61.0,197,97
704,1837,0.119748551656,62.5,197,97
